"Job","Host Name","Partition","QOS","Submit","Start","End","Elapsed Secs","Nodes Allocated","Raw Hours"
"64237933","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:10","2022-11-10 22:23:30","2022-11-10 23:23:55","3625","1","0.06293402777777778"
"64237934","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:17","2022-11-10 22:23:30","2022-11-10 23:23:55","3625","1","0.06293402777777778"
"64237935","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:29","2022-11-10 22:23:30","2022-11-10 23:23:55","3625","1","0.06293402777777778"
"64237937","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:35","2022-11-10 22:24:30","2022-11-10 23:24:58","3628","1","0.06298611111111112"
"64237938","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:45","2022-11-10 22:24:30","2022-11-10 23:24:58","3628","1","0.06298611111111112"
"64237939","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:23:54","2022-11-10 22:24:30","2022-11-10 23:25:03","3633","1","0.06307291666666667"
"64237955","cori haswell","debug_hsw","debug_hsw","2022-11-10 22:24:01","2022-11-10 22:24:01","2022-11-10 22:24:11","10","4","0.011111111111111112"
"64237981","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:03","2022-11-10 22:24:30","2022-11-10 23:25:00","3630","1","0.06302083333333333"
"64237982","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:08","2022-11-10 22:24:30","2022-11-10 23:25:00","3630","1","0.06302083333333333"
"64237983","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:13","2022-11-10 22:24:30","2022-11-10 22:24:37","7","1","0.00012152777777777777"
"64237984","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:15","2022-11-10 22:24:30","2022-11-10 23:25:00","3630","1","0.06302083333333333"
"64237985","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:20","2022-11-10 22:24:30","2022-11-10 23:25:00","3630","1","0.06302083333333333"
"64237986","cori haswell","genepool_shared","genepool_shared","2022-11-10 22:24:26","2022-11-10 22:24:30","2022-11-10 23:25:00","3630","1","0.06302083333333333"
